Order ID,Order Date,Product,Category,Region,City,Salesperson,Channel,Units,Unit Price,Unit Cost,Discount,Gross Sales,Discount Amount,Net Sales,Total Cost,Profit,Profit Mrgine,Month,Performance Status
ORD052,2026-09-05,Webcam,Accessories,WEST,Pune,Sara,Online,11,2800,1500,0,30800,0,30800,16500,14300,0.4642857142857143,Sep-2026,High Margine
ORD038,2026-07-08,Webcam,Accessories,SOUTH,Hyderabad,Rahul,Online,9,2800,1500,0,25200,0,25200,13500,11700,0.4642857142857143,Jul-2026,High Margine
ORD035,2026-06-23,Mouse,Accessories,NORTH,Delhi,Aman,Online,25,900,450,0,22500,0,22500,11250,11250,0.5,Jun-2026,High Margine
ORD014,2026-03-10,Webcam,Accessories,EAST,Patna,Zaid,Online,10,2800,1500,0.1,28000,2800,25200,15000,10200,0.40476190476190477,Mar-2026,High Margine
ORD060,2026-09-08,Keyboard,Accessories,SOUTH,Chennai,Rahul,Retail,12,1800,950,0,21600,0,21600,11400,10200,0.4722222222222222,Sep-2026,High Margine
ORD011,2026-02-24,Mouse,Accessories,EAST,Kolkata,Zaid,Retail,20,900,450,0,18000,0,18000,9000,9000,0.5,Feb-2026,High Margine
ORD042,2026-07-28,Headphones,Accessories,SOUTH,Bengaluru,Rahul,Online,7,3200,1800,0.05,22400,1120,21280,12600,8680,0.40789473684210525,Jul-2026,High Margine
ORD046,2026-08-17,Keyboard,Accessories,NORTH,Ludhiana,Aman,Retail,10,1800,950,0,18000,0,18000,9500,8500,0.4722222222222222,Aug-2026,High Margine
ORD026,2026-05-09,Webcam,Accessories,NORTH,Delhi,Aman,Online,8,2800,1500,0.1,22400,2240,20160,12000,8160,0.40476190476190477,May-2026,High Margine
ORD024,2026-04-29,Mouse,Accessories,SOUTH,Hyderabad,Rahul,Retail,18,900,450,0,16200,0,16200,8100,8100,0.5,Apr-2026,High Margine
ORD021,2026-04-14,Headphones,Accessories,WEST,Mumbai,Sara,Online,6,3200,1800,0.05,19200,960,18240,10800,7440,0.40789473684210525,Apr-2026,High Margine
ORD032,2026-06-08,Headphones,Accessories,EAST,Kolkata,Zaid,Online,5,3200,1800,0,16000,0,16000,9000,7000,0.4375,Jun-2026,High Margine
ORD057,2026-09-08,Headphones,Accessories,WEST,Mumbai,Sara,Corporate,6,3200,1800,0.1,19200,1920,17280,10800,6480,0.375,Sep-2026,High Margine
ORD050,2026-09-03,Mouse,Accessories,EAST,Kolkata,Zaid,Retail,16,900,450,0.05,14400,720,13680,7200,6480,0.47368421052631576,Sep-2026,High Margine
ORD006,2026-01-30,Keyboard,Accessories,SOUTH,Bengaluru,Rahul,Corporate,8,1800,950,0.05,14400,720,13680,7600,6080,0.4444444444444444,Jan-2026,High Margine
ORD029,2026-05-24,Keyboard,Accessories,SOUTH,Bengaluru,Rahul,Corporate,9,1800,950,0.1,16200,1620,14580,8550,6030,0.41358024691358025,May-2026,High Margine
ORD002,2026-01-10,Mouse,Accessories,SOUTH,Chennai,Rahul,Retail,12,900,450,0,10800,0,10800,5400,5400,0.5,Jan-2026,High Margine
ORD018,2026-03-30,Keyboard,Accessories,EAST,Kolkata,Zaid,Retail,7,1800,950,0.05,12600,630,11970,6650,5320,0.4444444444444444,Mar-2026,High Margine
ORD009,2026-02-14,Headphones,Accessories,EAST,Kolkata,Zaid,Retail,4,3200,1800,0.05,12800,640,12160,7200,4960,0.40789473684210525,Feb-2026,High Margine
ORD049,2026-09-01,Laptop,Electronics,NORTH,Chandigarh,Aman,Corporate,2,55000,44000,0,110000,0,110000,88000,22000,0.2,Sep-2026,High Margine
ORD039,2026-07-13,Monitor,Electronics,WEST,Mumbai,Sara,Corporate,5,18000,13500,0.05,90000,4500,85500,67500,18000,0.21052631578947367,Jul-2026,High Margine
ORD013,2026-03-05,Monitor,Electronics,WEST,Mumbai,Sara,Corporate,4,18000,13500,0,72000,0,72000,54000,18000,0.25,Mar-2026,High Margine
ORD044,2026-08-07,Monitor,Electronics,NORTH,Delhi,Aman,Corporate,4,18000,13500,0,72000,0,72000,54000,18000,0.25,Aug-2026,High Margine
ORD017,2026-03-25,Laptop,Electronics,NORTH,Delhi,Aman,Corporate,3,55000,44000,0.1,165000,16500,148500,132000,16500,0.1111111111111111,Mar-2026,Medium Margine
ORD001,2026-01-05,Laptop,Electronics,NORTH,Delhi,Aman,Online,2,55000,44000,0.05,110000,5500,104500,88000,16500,0.15789473684210525,Jan-2026,Medium Margine
ORD025,2026-05-04,Laptop,Electronics,WEST,Pune,Sara,Corporate,2,55000,44000,0.05,110000,5500,104500,88000,16500,0.15789473684210525,May-2026,Medium Margine
ORD059,2026-09-08,Laptop,Electronics,EAST,Kolkata,Zaid,Corporate,2,55000,44000,0.05,110000,5500,104500,88000,16500,0.15789473684210525,Sep-2026,Medium Margine
ORD027,2026-05-14,Monitor,Electronics,EAST,Patna,Zaid,Retail,3,18000,13500,0,54000,0,54000,40500,13500,0.25,May-2026,High Margine
ORD031,2026-06-03,Printer,Electronics,NORTH,Chandigarh,Aman,Corporate,4,14500,10500,0.05,58000,2900,55100,42000,13100,0.23774954627949182,Jun-2026,High Margine
ORD022,2026-04-19,Projector,Electronics,NORTH,Chandigarh,Aman,Corporate,2,30000,23500,0,60000,0,60000,47000,13000,0.21666666666666667,Apr-2026,High Margine
ORD033,2026-06-13,Laptop,Electronics,SOUTH,Chennai,Rahul,Corporate,2,55000,44000,0.1,110000,11000,99000,88000,11000,0.1111111111111111,Jun-2026,Medium Margine
